ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Total_Platforms
375,Saving Capitalism,2017,7+,73,1,0,0,0,Movie,1
376,The Untold Tales of Armistead Maupin,2017,Unknown,73,1,0,0,0,Movie,1
377,The Mitchells vs. The Machines,2021,7+,73,1,0,0,0,Movie,1
378,Spenser Confidential,2020,18+,73,1,0,0,0,Movie,1
379,Psychokinesis,2018,Unknown,73,1,0,0,0,Movie,1
380,Monsters vs Aliens,2009,7+,73,1,0,0,0,Movie,1
381,Twilight,2008,13+,73,1,0,1,0,Movie,2
382,Self/less,2015,13+,73,1,0,0,0,Movie,1
383,The Highwaymen,2019,18+,73,1,0,0,0,Movie,1
384,ParaNorman,2012,7+,73,1,0,0,0,Movie,1
385,Holidate,2020,Unknown,73,1,0,0,0,Movie,1
386,Fear Street Part Two: 1978,2021,18+,73,1,0,0,0,Movie,1
387,Pee-wee's Big Holiday,2016,7+,73,1,0,0,0,Movie,1
388,Gunpowder Milkshake,2021,18+,73,1,0,0,0,Movie,1
389,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73,1,0,0,0,Movie,1
390,I Am Not Your Negro,2017,18+,73,1,1,0,0,Movie,2
391,Midnight Special,2016,13+,73,1,0,0,0,Movie,1
392,Layla M.,2016,Unknown,73,1,0,0,0,Movie,1
393,Homefront,2013,18+,73,1,0,0,0,Movie,1
394,The Squid and the Whale,2005,18+,73,1,0,0,0,Movie,1
395,Comedian,2002,18+,73,1,0,0,0,Movie,1
396,No Escape,2015,18+,73,1,0,0,0,Movie,1
397,Mercury 13,2018,Unknown,73,1,0,0,0,Movie,1
398,The Professor and the Madman,2019,Unknown,73,1,0,0,0,Movie,1
399,Asperger's Are Us,2016,Unknown,73,1,0,0,0,Movie,1
400,The Garden of Words,2013,13+,73,1,0,0,0,Movie,1
401,Fractured,2019,18+,73,1,0,1,0,Movie,2
402,The Queen,2006,13+,73,1,0,0,0,Movie,1
403,The Whole Nine Yards,2000,18+,72,1,0,0,0,Movie,1
404,E-Team,2014,Unknown,72,1,0,0,0,Movie,1
405,The Discovery,2017,18+,72,1,0,0,0,Movie,1
406,The Strangers,2008,18+,72,1,0,0,0,Movie,1
